drug_name,target
pravastatin,Histone deacetylase 2 inhibitor
fluvoxamine,Sodium-dependent serotonin transporter inhibitor
fluvoxamine,Potassium voltage-gated channel subfamily H member 2 inhibitor
valsartan,Type-1 angiotensin II receptor antagonist
ramipril,Angiotensin-converting enzyme inhibitor
flunisolide,Glucocorticoid receptor agonist
amphetamine,Synaptic vesicular amine transporter inhibitor
amphetamine,Sodium-dependent dopamine transporter inhibitor
amphetamine,Sodium-dependent dopamine transporter agonist
amphetamine,Sodium-dependent dopamine transporter binder
amphetamine,Sodium-dependent noradrenaline transporter inhibitor
amphetamine,Sodium-dependent noradrenaline transporter agonist
amphetamine,Sodium-dependent noradrenaline transporter binder
amphetamine,Beta adrenergic receptor inhibitor
amphetamine,Dopamine D2 receptor inhibitor
amphetamine,Dopamine D2 receptor agonist
amphetamine,Dopamine D2 receptor binder
amphetamine,Amine oxidase [flavin-containing] B inhibitor
amphetamine,Sodium-dependent serotonin transporter inhibitor
amphetamine,Sodium-dependent serotonin transporter agonist
amphetamine,Sodium-dependent serotonin transporter binder
nicotine,Neuronal acetylcholine receptor subunit alpha-4 agonist
nicotine,Neuronal acetylcholine receptor subunit alpha-4 inhibitor
cevimeline,Muscarinic acetylcholine receptor M3 agonist
cevimeline,Muscarinic acetylcholine receptor M1 agonist
lorazepam,GABA(A) Receptor ligand
lorazepam,GABA(A) Receptor Benzodiazepine Binding Site ligand
esmolol,Beta-1 adrenergic receptor antagonist
phentermine,Sodium-dependent noradrenaline transporter inhibitor
phentermine,Sodium-dependent noradrenaline transporter antagonist
phentermine,Sodium-dependent serotonin transporter inhibitor
phentermine,Sodium-dependent serotonin transporter antagonist
phentermine,Sodium-dependent dopamine transporter inhibitor
phentermine,Sodium-dependent dopamine transporter antagonist
phentermine,Amine oxidase [flavin-containing] B inhibitor
tramadol,Mu-type opioid receptor agonist
tramadol,Mu-type opioid receptor inhibitor
tramadol,Mu-type opioid receptor antagonist
tramadol,Sodium-dependent noradrenaline transporter agonist
tramadol,Sodium-dependent noradrenaline transporter inhibitor
tramadol,Sodium-dependent noradrenaline transporter antagonist
tramadol,Sodium-dependent serotonin transporter agonist
tramadol,Sodium-dependent serotonin transporter inhibitor
tramadol,Sodium-dependent serotonin transporter antagonist
tramadol,5-hydroxytryptamine receptor 2C agonist
tramadol,5-hydroxytryptamine receptor 2C inhibitor
tramadol,5-hydroxytryptamine receptor 2C antagonist
tramadol,Kappa-type opioid receptor agonist
tramadol,Kappa-type opioid receptor inhibitor
tramadol,Kappa-type opioid receptor antagonist
tramadol,Delta-type opioid receptor agonist
tramadol,Delta-type opioid receptor antagonist
tramadol,Muscarinic acetylcholine receptor M3 agonist
tramadol,Muscarinic acetylcholine receptor M3 inhibitor
tramadol,Muscarinic acetylcholine receptor M3 antagonist
tramadol,Muscarinic acetylcholine receptor M1 agonist
tramadol,Muscarinic acetylcholine receptor M1 inhibitor
tramadol,Muscarinic acetylcholine receptor M1 antagonist
tramadol,Adenosine receptor A1 inhibitor
tramadol,Adenosine receptor A1 antagonist
tramadol,Alpha-2 adrenergic receptors agonist
tramadol,Alpha-2 adrenergic receptors inhibitor
tramadol,Alpha-2 adrenergic receptors antagonist
betaxolol,Beta-1 adrenergic receptor antagonist
betaxolol,Beta-2 adrenergic receptor antagonist
troglitazone,Peroxisome proliferator-activated receptor gamma agonist
troglitazone,Peroxisome proliferator-activated receptor gamma inhibitor
troglitazone,Peroxisome proliferator-activated receptor alpha agonist
troglitazone,Peroxisome proliferator-activated receptor alpha inhibitor
erythromycin,Potassium voltage-gated channel subfamily H member 2 inhibitor
caffeine,Adenosine receptor A1 antagonist
caffeine,Adenosine receptor A1 inhibitor
succinylcholine,Muscarinic acetylcholine receptor M3 agonist
sildenafil,"cGMP-specific 3',5'-cyclic phosphodiesterase inhibitor"
dofetilide,Potassium voltage-gated channel subfamily H member 2 inhibitor
reserpine,Synaptic vesicular amine transporter inhibitor
trospium,Muscarinic acetylcholine receptor M1 antagonist
trospium,Muscarinic acetylcholine receptor M3 antagonist
midodrine,Alpha-1A adrenergic receptor agonist
midodrine,Alpha-1B adrenergic receptor agonist
midodrine,Alpha-1D adrenergic receptor agonist
citalopram,Sodium-dependent serotonin transporter inhibitor
citalopram,Sodium-dependent serotonin transporter binder
citalopram,Histamine H1 receptor inhibitor
citalopram,Histamine H1 receptor binder
eletriptan,5-hydroxytryptamine receptor 1D agonist
eletriptan,5-hydroxytryptamine receptor 1B agonist
eletriptan,5-hydroxytryptamine receptor 1F agonist
eletriptan,5-hydroxytryptamine receptor 1A agonist
moxifloxacin,DNA topoisomerase 4 subunit A inhibitor
moxifloxacin,DNA gyrase subunit A inhibitor
moxifloxacin,DNA topoisomerase 2-alpha inhibitor
indinavir,Human immunodeficiency virus type 1 protease inhibitor
temazepam,GABA(A) Receptor ligand
temazepam,GABA(A) Receptor Benzodiazepine Binding Site ligand
reboxetine,Sodium-dependent noradrenaline transporter inhibitor
milrinone,"cGMP-inhibited 3',5'-cyclic phosphodiesterase A inhibitor"
butabarbital,GABA(A) Receptor inhibitor
butabarbital,GABA(A) Receptor antagonist
cladribine,DNA inhibitor
ranolazine,Alpha-1 adrenergic receptors inhibitor
ranolazine,Alpha-1 adrenergic receptors antagonist
ranolazine,Beta-1 adrenergic receptor inhibitor
ranolazine,Beta-1 adrenergic receptor antagonist
ziprasidone,Dopamine D2 receptor antagonist
ziprasidone,Dopamine D2 receptor agonist
ziprasidone,Dopamine D1 receptor antagonist
ziprasidone,Dopamine D1 receptor agonist
ziprasidone,Dopamine D5 receptor antagonist
ziprasidone,Dopamine D5 receptor agonist
ziprasidone,5-hydroxytryptamine receptor 2A antagonist
ziprasidone,5-hydroxytryptamine receptor 2A agonist
ziprasidone,Dopamine D3 receptor antagonist
ziprasidone,Dopamine D3 receptor agonist
ziprasidone,Dopamine D4 receptor antagonist
ziprasidone,Dopamine D4 receptor agonist
ziprasidone,5-hydroxytryptamine receptor 1A antagonist
ziprasidone,5-hydroxytryptamine receptor 1A agonist
ziprasidone,5-hydroxytryptamine receptor 1B antagonist
ziprasidone,5-hydroxytryptamine receptor 1B agonist
ziprasidone,5-hydroxytryptamine receptor 1D antagonist
ziprasidone,5-hydroxytryptamine receptor 1D agonist
ziprasidone,5-hydroxytryptamine receptor 1E antagonist
ziprasidone,5-hydroxytryptamine receptor 2C antagonist
ziprasidone,5-hydroxytryptamine receptor 2C agonist
ziprasidone,5-hydroxytryptamine receptor 6 antagonist
ziprasidone,5-hydroxytryptamine receptor 7 antagonist
ziprasidone,5-hydroxytryptamine receptor 7 agonist
ziprasidone,Histamine H1 receptor antagonist
ziprasidone,Histamine H1 receptor agonist
ziprasidone,Alpha-1A adrenergic receptor antagonist
ziprasidone,Alpha-1A adrenergic receptor agonist
ziprasidone,Alpha-1B adrenergic receptor antagonist
ziprasidone,Alpha-1B adrenergic receptor agonist
ziprasidone,Alpha-2A adrenergic receptor antagonist
ziprasidone,Alpha-2A adrenergic receptor agonist
ziprasidone,Alpha-2B adrenergic receptor antagonist
ziprasidone,Alpha-2B adrenergic receptor agonist
ziprasidone,Alpha-2C adrenergic receptor antagonist
ziprasidone,Alpha-2C adrenergic receptor agonist
ziprasidone,Muscarinic acetylcholine receptor M1 antagonist
ziprasidone,Muscarinic acetylcholine receptor M1 agonist
ziprasidone,Muscarinic acetylcholine receptor M2 antagonist
