Drug_Name,Target,earlist data,oldest date
bupropion,Cardiovascular disorder,"2022, 9, 18","2016, 6, 2"
bupropion,Cardiac flutter,NA,#N/A
bupropion,Cardiac disorder,"2022, 3, 12","2012, 1, 17"
bupropion,Myocardial infarction,"2021, 7, 27","2000, 9, 30"
bupropion,Tachycardia,"2022, 3, 12","2002, 10, 26"
bupropion,Supraventricular tachycardia,"2020, 1, 11","2008, 7, 29"
estradiol,Cardiovascular disorder,"2022, 12, 3","2022, 2, 6"
estradiol,Cardiac disorder,"2022, 11, 8","2020, 4, 28"
estradiol,Myocardial infarction,"2022, 7, 9","2010, 7, 6"
estradiol,Tachycardia,"2022, 5, 8","2000, 4, 28"
estradiol,Myocardial ischaemia,"2022, 8, 1","2016, 5, 14"
cytarabine,Cardiac disorder,"2022, 9, 18","2000, 5, 2"
cytarabine,Cardiomegaly,"2018, 11, 14","2018, 11, 14"
cytarabine,Pericarditis,"2022, 8, 11","2000, 5, 2"
cytarabine,Tachycardia,"2018, 11, 14","2002, 9, 24"
cytarabine,Cardio-respiratory arrest,"2022, 11, 26","2000, 5, 17"
cytarabine,Cardiotoxicity,"2022, 11, 26","2000, 5, 2"
cytarabine,Cardiomyopathy,"2022, 11, 26","2000, 3, 30"
cytarabine,Non-cardiogenic pulmonary oedema,NA,#N/A
dopamine,Tachycardia,"2022, 5, 18","2015, 6, 22"
dopamine,Bradycardia,"2022, 8, 14","2009, 9, 4"
dopamine,Electrocardiogram QRS complex,"2020, 1, 10","2004, 4, 15"
estrone,Myocardial infarction,"2017, 11, 25","2003, 9, 23"
histamine,Cardiac disorder,"2022, 11, 18","2018, 8, 3"
histamine,Tachycardia,"2021, 11, 4","2006, 1, 25"
epinephrine,Myocardial infarction,"2022, 10, 28","2018, 12, 24"
epinephrine,Tachycardia,"2022, 11, 28","2019, 9, 14"
epinephrine,Supraventricular tachycardia,"2020, 2, 2","2000, 5, 10"
epinephrine,Myocardial ischaemia,"2022, 10, 28","2019, 8, 3"
melatonin,Cardiac disorder,"2022, 11, 24","2020, 5, 16"
nicotine,Cardiac disorder,"2022, 11, 18","2021, 2, 5"
nicotine,Cardiac failure,"2022, 12, 5","2007, 1, 26"
nicotine,Tachycardia,"2022, 9, 14","2000, 2, 23"
norepinephrine,Bradycardia,"2022, 12, 2","2017, 7, 8"
quinidine,Electrocardiogram abnormal,"2022, 6, 26","2001, 2, 24"
quinidine,Cardiac arrest,"2022, 7, 26","2000, 12, 16"
quinidine,Cardiac disorder,"2022, 11, 24","2018, 7, 25"
quinidine,Tachycardia,"2022, 11, 18","2010, 11, 3"
quinidine,Ventricular tachycardia,"2022, 11, 18","2010, 4, 14"
quinidine,Electrocardiogram U wave present,"2007, 2, 14","2007, 2, 14"
quinidine,Electrocardiogram U-wave abnormality,NA,#N/A
quinidine,Bradycardia,"2022, 4, 21","2001, 2, 24"
quinidine,Electrocardiogram QRS complex,"2020, 5, 15","2003, 8, 5"
quinidine,Cardiotoxicity,"2022, 9, 28","2002, 10, 5"
naproxen,Cardiac disorder,"2022, 11, 25","2008, 3, 20"
naproxen,Cardiac failure,"2022, 11, 25","2002, 11, 6"
naproxen,Cardiac failure congestive,"2022, 11, 25","2002, 11, 6"
naproxen,Myocardial infarction,"2022, 11, 25","2006, 9, 26"
naproxen,Tachycardia,"2021, 6, 22","2006, 8, 9"
naproxen,Electrocardiogram abnormal,"2020, 12, 16","2020, 12, 16"
cladribine,Cardiac disorder,"2022, 8, 11","2002, 4, 12"
cladribine,Cardiac failure,"2021, 12, 17","2002, 4, 12"
cladribine,Cardiac murmur,NA,#N/A
cladribine,Tachycardia,"2005, 7, 1","2005, 7, 1"
cladribine,Myocardial ischaemia,"2005, 12, 3","2005, 12, 3"
cladribine,Decompensation cardiac,"2021, 12, 17","2000, 5, 2"
doxorubicin,Congestive cardiomyopathy,"2022, 11, 10","2017, 3, 25"
doxorubicin,Cardiovascular disorder,"2022, 11, 24","2022, 7, 23"
doxorubicin,Cardiac arrest,"2022, 7, 10","2000, 3, 23"
doxorubicin,Cardiac disorder,"2022, 11, 24","2022, 7, 18"
doxorubicin,Cardiomegaly,"2022, 8, 13","2009, 12, 30"
doxorubicin,Cardiac failure,"2022, 11, 24","2022, 2, 19"
doxorubicin,Cardiac failure congestive,"2022, 11, 24","2022, 2, 11"
doxorubicin,Myocarditis,"2022, 7, 29","2000, 5, 2"
doxorubicin,Pericardial effusion,"2022, 7, 19","2000, 2, 16"
doxorubicin,Pericarditis,"2022, 3, 22","2000, 5, 2"
doxorubicin,Cardiogenic shock,"2022, 11, 17","2005, 2, 1"
doxorubicin,Tachycardia,"2022, 10, 14","2000, 4, 25"
doxorubicin,Sinus tachycardia,"2019, 4, 26","2005, 9, 17"
doxorubicin,Ventricular tachycardia,"2020, 12, 22","2000, 4, 25"
doxorubicin,Electrocardiogram QRS complex abnormal,"2019, 4, 27","2001, 5, 1"
doxorubicin,Bradycardia,"2021, 8, 3","2003, 2, 25"
doxorubicin,Electrocardiogram ST segment depression,"2004, 5, 21","2004, 5, 21"
doxorubicin,Cardiotoxicity,"2022, 12, 2","2022, 9, 2"
doxorubicin,Cardiomyopathy,"2022, 11, 22","2021, 12, 22"
doxorubicin,Acute cardiac toxicity,"2022, 11, 28","2020, 8, 11"
phenytoin,Cardiac arrest,"2022, 6, 7","2000, 8, 19"
phenytoin,Cardiomegaly,"2002, 10, 3","2002, 10, 3"
phenytoin,Cardiac failure congestive,"2021, 7, 13","2001, 12, 4"
phenytoin,Tachycardia,"2022, 11, 23","2001, 12, 4"
phenytoin,Sinus bradycardia,"2019, 5, 31","2006, 1, 26"
