drug_name,target
eletriptan,pergolide
trazodone,vilazodone
amitriptyline,dopamine
lisuride,naratriptan
lisuride,ergotamine
ergotamine,bromocriptine
amitriptyline,vilazodone
ergotamine,trimipramine
dopamine,mianserin
zolmitriptan,paliperidone
ondansetron,pindolol
pramipexole,sumatriptan
ziprasidone,cabergoline
pramipexole,ondansetron
dihydroergotamine,bromocriptine
eletriptan,bromocriptine
dihydroergotamine,trimipramine
eletriptan,lisuride
trazodone,pergolide
bromocriptine,mianserin
ergotamine,paliperidone
zolmitriptan,vilazodone
amitriptyline,pergolide
pramipexole,dopamine
methysergide,bromocriptine
zolmitriptan,trazodone
methysergide,trimipramine
ondansetron,rotigotine
pramipexole,vilazodone
sumatriptan,pindolol
dihydroergotamine,paliperidone
eletriptan,ziprasidone
ziprasidone,methysergide
trazodone,bromocriptine
pindolol,rotigotine
rotigotine,vilazodone
trazodone,trimipramine
eletriptan,cabergoline
ergotamine,vilazodone
trazodone,dopamine
amitriptyline,bromocriptine
trimipramine,ondansetron
pindolol,dopamine
zolmitriptan,pergolide
amitriptyline,trimipramine
trimipramine,paliperidone
methysergide,paliperidone
lisuride,rotigotine
dihydroergotamine,vilazodone
methysergide,cabergoline
pramipexole,pergolide
ziprasidone,pindolol
dihydroergotamine,trazodone
sumatriptan,apomorphine
cabergoline,pindolol
trazodone,paliperidone
sumatriptan,mianserin
trimipramine,dopamine
naratriptan,dopamine
pergolide,vilazodone
ergotamine,pergolide
trimipramine,vilazodone
methysergide,vilazodone
naratriptan,vilazodone
eletriptan,methysergide
methysergide,trazodone
apomorphine,pindolol
zolmitriptan,lisuride
dihydroergotamine,pergolide
ziprasidone,apomorphine
zolmitriptan,apomorphine
pramipexole,bromocriptine
pramipexole,trimipramine
cabergoline,apomorphine
ziprasidone,mianserin
sumatriptan,naratriptan
dopamine,rotigotine
cabergoline,mianserin
eletriptan,pindolol
sumatriptan,ergotamine
amitriptyline,trazodone
paliperidone,mianserin
trimipramine,pergolide
methysergide,pergolide
apomorphine,mianserin
pindolol,bromocriptine
pramipexole,paliperidone
dihydroergotamine,lisuride
bromocriptine,rotigotine
ziprasidone,naratriptan
pergolide,bromocriptine
cabergoline,naratriptan
eletriptan,apomorphine
ziprasidone,ergotamine
cabergoline,ergotamine
trimipramine,bromocriptine
naratriptan,bromocriptine
eletriptan,mianserin
methysergide,lisuride
amitriptyline,pindolol
pramipexole,trazodone
apomorphine,naratriptan
methysergide,apomorphine
pindolol,paliperidone
ondansetron,dopamine
methysergide,mianserin
pergolide,paliperidone
ondansetron,vilazodone
ziprasidone,pramipexole
lisuride,sumatriptan
trazodone,apomorphine
lisuride,ondansetron
cabergoline,pramipexole
amitriptyline,lisuride
lisuride,paliperidone
eletriptan,naratriptan
naratriptan,paliperidone
trazodone,mianserin
pindolol,vilazodone
eletriptan,ergotamine
amitriptyline,apomorphine
sumatriptan,rotigotine
zolmitriptan,pindolol
dopamine,bromocriptine
amitriptyline,mianserin
lisuride,dopamine
pramipexole,pindolol
sumatriptan,dopamine
lisuride,vilazodone
ziprasidone,sumatriptan
lisuride,trazodone
cabergoline,sumatriptan
ergotamine,pindolol
trazodone,naratriptan
eletriptan,pramipexole
ziprasidone,rotigotine
pindolol,pergolide
pramipexole,lisuride
cabergoline,rotigotine
dopamine,paliperidone
amitriptyline,naratriptan
paliperidone,rotigotine
ziprasidone,amitriptyline
zolmitriptan,mianserin
dihydroergotamine,pindolol
pramipexole,apomorphine
ziprasidone,dopamine
cabergoline,amitriptyline
amitriptyline,ergotamine
apomorphine,ondansetron
ondansetron,bromocriptine
pramipexole,mianserin
lisuride,pergolide
apomorphine,rotigotine
naratriptan,pergolide
ergotamine,apomorphine
rotigotine,mianserin
trimipramine,pindolol
methysergide,pindolol
dopamine,vilazodone
eletriptan,sumatriptan
ziprasidone,dihydroergotamine
zolmitriptan,dihydroergotamine
ergotamine,mianserin
cabergoline,dihydroergotamine
apomorphine,dopamine
zolmitriptan,naratriptan
dihydroergotamine,apomorphine
eletriptan,rotigotine
amitriptyline,pramipexole
zolmitriptan,ergotamine
trazodone,pindolol
dihydroergotamine,mianserin
pramipexole,naratriptan
lisuride,bromocriptine
eletriptan,amitriptyline
lisuride,trimipramine
ondansetron,paliperidone
pramipexole,ergotamine
eletriptan,dopamine
sumatriptan,trimipramine
bromocriptine,vilazodone
ziprasidone,zolmitriptan
pergolide,mianserin
ergotamine,naratriptan
dopamine,pergolide
cabergoline,zolmitriptan
trimipramine,mianserin
naratriptan,mianserin
eletriptan,dihydroergotamine
zolmitriptan,pramipexole
trazodone,rotigotine
dihydroergotamine,naratriptan
sumatriptan,ondansetron
dihydroergotamine,ergotamine
sumatriptan,paliperidone
ziprasidone,trimipramine
amitriptyline,rotigotine
cabergoline,trimipramine
methysergide,dihydroergotamine
trimipramine,naratriptan
methysergide,naratriptan
amitriptyline,paliperidone
apomorphine,bromocriptine
eletriptan,zolmitriptan
methysergide,ergotamine
apomorphine,trimipramine
ondansetron,pergolide
zolmitriptan,sumatriptan
sumatriptan,vilazodone
ziprasidone,ondansetron
zolmitriptan,ondansetron
ziprasidone,paliperidone
cabergoline,ondansetron
dihydroergotamine,pramipexole
cabergoline,paliperidone
zolmitriptan,rotigotine
trazodone,ergotamine
methysergide,zolmitriptan
zolmitriptan,amitriptyline
eletriptan,trimipramine
pramipexole,rotigotine
zolmitriptan,dopamine
cabergoline,dopamine
methysergide,pramipexole
ergotamine,ondansetron
apomorphine,paliperidone
ziprasidone,vilazodone
sumatriptan,pergolide
ziprasidone,trazodone
cabergoline,vilazodone
ergotamine,rotigotine
bromocriptine,paliperidone
cabergoline,trazodone
paliperidone,vilazodone
dihydroergotamine,sumatriptan
lisuride,pindolol
naratriptan,pindolol
dihydroergotamine,ondansetron
eletriptan,ondansetron
ergotamine,dopamine
ondansetron,mianserin
eletriptan,paliperidone
dihydroergotamine,rotigotine
apomorphine,vilazodone
dihydroergotamine,amitriptyline
methysergide,sumatriptan
pindolol,mianserin
pergolide,rotigotine
ziprasidone,pergolide
methysergide,ondansetron
dihydroergotamine,dopamine
sumatriptan,bromocriptine
cabergoline,pergolide
trimipramine,rotigotine
methysergide,rotigotine
lisuride,apomorphine
naratriptan,rotigotine
eletriptan,vilazodone
trazodone,sumatriptan
eletriptan,trazodone
ondansetron,naratriptan
trazodone,ondansetron
methysergide,amitriptyline
lisuride,mianserin
mianserin,vilazodone
methysergide,dopamine
apomorphine,pergolide
amitriptyline,sumatriptan
amitriptyline,ondansetron
ziprasidone,bromocriptine
zolmitriptan,bromocriptine
ziprasidone,lisuride
cabergoline,bromocriptine
zolmitriptan,trimipramine
cabergoline,lisuride
lisuride,doxepin
loxapine,imipramine
clozapine,imipramine
haloperidol,trimipramine
risperidone,paliperidone
imipramine,propranolol
clozapine,lisuride
cabergoline,clozapine
ondansetron,nefazodone
loxapine,iloperidone
amoxapine,doxepin
ondansetron,quetiapine
cabergoline,doxepin
trimipramine,risperidone
bromocriptine,mianserin
loxapine,paliperidone
asenapine,lurasidone
ziprasidone,molindone
methysergide,trimipramine
chlorpromazine,aripiprazole
ziprasidone,methysergide
chlorpromazine,nortriptyline
lisuride,quetiapine
amitriptyline,imipramine
nefazodone,iloperidone
chlorpromazine,risperidone
iloperidone,mianserin
trazodone,lurasidone
propranolol,trimipramine
cabergoline,nefazodone
nortriptyline,lisuride
ziprasidone,pindolol
imipramine,iloperidone
amoxapine,quetiapine
risperidone,lurasidone
imipramine,ondansetron
amitriptyline,loxapine
imipramine,paliperidone
chlorpromazine,rotigotine
ziprasidone,desipramine
loxapine,buspirone
clozapine,buspirone
desipramine,molindone
buspirone,doxepin
paliperidone,mianserin
rotigotine,lurasidone
doxepin,asenapine
trazodone,asenapine
loxapine,lurasidone
ondansetron,iloperidone
clozapine,mianserin
trimipramine,bromocriptine
penbutolol,iloperidone
haloperidol,doxepin
lisuride,iloperidone
buspirone,nefazodone
amitriptyline,buspirone
nefazodone,lurasidone
lisuride,ondansetron
buspirone,quetiapine
ziprasidone,chlorpromazine
lisuride,paliperidone
chlorpromazine,bromocriptine
trazodone,penbutolol
bromocriptine,aripiprazole
amoxapine,iloperidone
trimipramine,doxepin
methysergide,doxepin
amitriptyline,mianserin
imipramine,lurasidone
ziprasidone,quetiapine
quetiapine,mianserin
haloperidol,nefazodone
cabergoline,haloperidol
amoxapine,ondansetron
haloperidol,quetiapine
propranolol,doxepin
risperidone,penbutolol
doxepin,molindone
ziprasidone,amitriptyline
ziprasidone,propranolol
nefazodone,asenapine
trimipramine,nefazodone
methysergide,nefazodone
ondansetron,lurasidone
loxapine,penbutolol
methysergide,quetiapine
trazodone,pindolol
risperidone,aripiprazole
propranolol,nefazodone
penbutolol,lurasidone
desipramine,quetiapine
lisuride,lurasidone
propranolol,quetiapine
pindolol,doxepin
trazodone,rotigotine
doxepin,desipramine
trazodone,desipramine
nefazodone,penbutolol
loxapine,aripiprazole
buspirone,haloperidol
chlorpromazine,lisuride
clozapine,nortriptyline
buspirone,ondansetron
ziprasidone,iloperidone
loxapine,risperidone
clozapine,risperidone
amoxapine,lurasidone
ondansetron,asenapine
aripiprazole,molindone
imipramine,penbutolol
risperidone,rotigotine
ziprasidone,ondansetron
ziprasidone,paliperidone
pindolol,nefazodone
ziprasidone,loxapine
lisuride,asenapine
haloperidol,ondansetron
cabergoline,amoxapine
molindone,iloperidone
amoxapine,trazodone
pindolol,quetiapine
loxapine,rotigotine
cabergoline,trazodone
amitriptyline,nortriptyline
imipramine,aripiprazole
amoxapine,asenapine
amitriptyline,risperidone
ondansetron,penbutolol
methysergide,haloperidol
cabergoline,asenapine
methysergide,ondansetron
desipramine,iloperidone
doxepin,quetiapine
nortriptyline,trimipramine
propranolol,iloperidone
nefazodone,rotigotine
lisuride,penbutolol
nefazodone,desipramine
risperidone,bromocriptine
propranolol,ondansetron
ziprasidone,lurasidone
imipramine,rotigotine
amoxapine,penbutolol
loxapine,bromocriptine
clozapine,bromocriptine
buspirone,amoxapine
haloperidol,lurasidone
ondansetron,pindolol
lisuride,aripiprazole
nortriptyline,molindone
buspirone,trazodone
molindone,lurasidone
buspirone,asenapine
mianserin,lurasidone
